Alpha1	Alpha2	Alpha3
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
-0.00698047 -0.0357367 0.0931404
